"Steppler	Basin	(Diogo)"					
"WQ_STC_MS_9C_TOC_(mg_l)	1	mg/l"					
2005	3	31	18	57	5.73
2005	4	1	11	2	6.15
2005	4	1	18	57	4.94
2005	4	2	6	57	5.12
2005	4	2	18	43	5.79
2005	4	3	6	43	5.36
2005	4	3	17	16	6.45
2005	4	4	1	12	10.61
2005	4	4	9	21	21.55
2005	4	4	17	45	7
2005	4	5	9	50	6.36
2005	4	6	1	40	5.63
2005	4	6	13	26	3.7
2005	4	6	17	45	3.93
2005	4	7	5	45	3.18
2005	4	7	17	45	3.4
2005	4	8	5	45	2.46
2005	4	9	2	24	2.3
2005	4	10	2	24	2.58
2005	4	11	2	24	2.81
2005	4	12	2	24	2.77
2005	4	14	12	0	2
2005	5	9	13	26	2.94
2005	5	21	9	36	9.59
2005	5	21	13	26	10.54
2005	5	21	18	28	7.19
2005	5	22	5	31	4.19
2005	5	22	15	36	4.31
2005	5	23	7	26	3.82
2005	5	30	13	26	2.53
2005	6	8	20	24	9.22
2005	6	9	4	33	6.54
2005	6	9	16	33	5.1
2005	6	10	0	28	5.14
2005	6	12	3	36	10.36
2005	6	12	15	36	6.19
2005	6	13	7	26	4.2
2005	6	13	20	24	11.48
2005	6	14	4	33	7.71
2005	6	14	16	33	5.63
2005	6	15	4	33	4.81
2005	6	16	7	26	5.3
2005	6	27	4	33	26.75
2005	6	28	3	36	6.04
2005	6	29	9	36	29.77
2005	6	29	17	31	7.33
2005	6	30	5	31	5.26
2005	6	30	17	31	5.61
2005	7	1	5	31	4.08
2005	7	1	18	28	2.02
2005	7	2	22	33	0.69
2005	7	8	17	31	4.08
2005	7	11	8	24	5.73
2005	7	17	13	26	10.91
2005	7	18	3	36	3.76
2014	4	8	16	19	21.53
2014	4	9	18	14	19.63
2014	4	10	18	0	18.5
2014	4	13	14	38	11.75
2014	4	25	15	36	10.18
2014	4	28	19	40	9.06
2014	5	21	13	26	9.92
2014	6	5	13	40	22.66
2014	6	30	9	36	19.77
2014	7	2	10	48	17.04
